part_number,mlfb,productos,description
BEWS4100,MX2:BEWS4100,MEX:BEWS4100,BASE REDONDA WATTHORIMETRO 4X100A
HOOP1_1/4IN,MX2:HOOP1_1/4IN,MEX:HOOP1_1/4IN,HOOP PARA BASE MEDICION 1 1/4
HOOP2IN,MX2:HOOP2IN,MEX:HOOP2IN,HOOP PARA BASE MEDICION 1_1/2 IN
5TAREDONDA,MX2:5TAREDONDA,MEX:5TAREDONDA,5TA MORDAZA BASE REDONDA
MUFA1_1/4IN,MX2:MUFA1_1/4IN,MEX:MUFA1_1/4IN,MUFA 1 1/4
GF221NA,US2:GF221NA,MX:GF221NA,SAFETY SWITCH. SERIES A 2POLE 3WIRE
GF222NA,US2:GF222NA,MX:GF222NA,SAFETY SWITCH. SERIES A 2POLE 3WIRE
GF221NRA,US2:GF221NRA,MX:GF221NRA,SAFETY SWITCH. SERIES A 2POLE 3WIRE
GF222NRA,US2:GF222NRA,MX:GF222NRA,SAFETY SWITCH. SERIES A 2POLE 3WIRE
GF321NA,US2:GF321NA,MX:GF321NA,SAFETY SWITCH. SERIES A 3POLE 4WIRE
GF322NA,US2:GF322NA,MX:GF322NA,SAFETY SWITCH. SERIES A 3POLE 4WIRE
GF323NA,US2:GF323NA,MX:GF323NA,SAFETY SWITCH 3P 100A 240V GD FUSED N1
GF324NA,US2:GF324NA,MX:GF324NA,SAFETY SWITCH 3P 200A 240V GD FUSED N1
GF325NA,US2:GF325NA,MX:GF325NA,SAFETY SWITCH 3P 400A 240V GD FUSED N1
GF326NA,US2:GF326NA,MX:GF326NA,SAFETY SWITCH 3P 600A 240V GD FUSED N1
GF321NRA,US2:GF321NRA,MX:GF321NRA,SAFETY SWITCH. SERIES A 3POLE 4WIRE
GF322NRA,US2:GF322NRA,MX:GF322NRA,SAFETY SWITCH. SERIES A 3POLE 4WIRE
GF323NRA,US2:GF323NRA,MX:GF323NRA,INTERRUPTOR DE SEGURIDAD 3P 100A 240V GD
GF324NRA,US2:GF324NRA,MX:GF324NRA,SAFETY SWITCH 3P 200A 240V GD FUSED N3R
GNF321A,US2:GNF321A,MX:GNF321A,SAFETY SWITCH. SERIES A 3POLE 3WIRE
GNF322A,US2:GNF322A,MX:GNF322A,SAFETY SWITCH. SERIES A 3POLE 3WIRE
GNF323A,US2:GNF323A,MX:GNF323A,SAFETY SWITCH 3P 100A 240V GD NF N1
GNF324A,US2:GNF324A,MX:GNF324A,SAFETY SWITCH 3P 200A 240V GD NF N1
